Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Region_Code,Model_Code,Source_Type_Code
2023,5,Europe,Model S,17646.0,17922.0,92874.27,120,704,1609.9825,Interpolated (Month),12207,1,2,1
2015,2,Asia,Model X,3797.0,4164.0,62205.65,75,438,249.46,Official (Quarter),7640,0,3,2
2019,1,North America,Model X,8411.0,9189.0,117887.32,82,480,605.59,Interpolated (Month),14071,3,3,1
2021,2,North America,Model 3,6555.0,7311.0,89294.91,120,712,700.07,Official (Quarter),9333,3,1,2
2016,12,Middle East,Model Y,12374.0,13537.0,114846.78,120,661,1226.88,Estimated (Region),8722,2,4,0
2020,4,Asia,Model X,4656.0,5043.0,86930.57,82,477,333.14,Official (Quarter),5798,0,3,2
2015,11,Asia,Model 3,7717.0,7976.0,87588.21,82,475,549.84,Interpolated (Month),9961,0,1,1
2020,6,Europe,Cybertruck,8410.0,9192.0,73815.61,100,592,746.81,Official (Quarter),8216,1,0,2
2022,4,Europe,Model S,15145.0,15760.0,69993.86,100,563,1279.0,Interpolated (Month),13264,1,2,1
2021,3,Middle East,Model Y,7790.0,8208.0,50591.6,82,485,566.72,Interpolated (Month),3383,2,4,1
2020,11,Asia,Model 3,8319.0,9154.0,117946.76,120,670,836.06,Estimated (Region),10165,0,1,0
2025,5,Asia,Cybertruck,5937.0,6483.0,78837.18,82,477,424.79,Interpolated (Month),14940,0,0,1
2020,10,Middle East,Model S,8724.0,9355.0,99200.65,82,453,592.8,Estimated (Region),5325,2,2,0
2020,11,Asia,Model S,10737.0,11658.0,78316.37,75,426,686.09,Interpolated (Month),5601,0,2,1
2020,4,North America,Cybertruck,4408.0,5007.0,91115.89,120,665,439.7,Estimated (Region),8397,3,0,0
2025,3,North America,Cybertruck,17079.0,18904.0,111739.13,120,682,1609.9825,Official (Quarter),3904,3,0,2
2023,11,Europe,Model S,12540.0,13453.0,56018.16,100,592,1113.55,Interpolated (Month),11616,1,2,1
2020,7,Europe,Model S,16546.0,17888.0,97411.05,100,585,1451.91,Official (Quarter),14471,1,2,2
2017,1,Europe,Model S,6472.0,6810.0,57769.87,100,590,572.77,Estimated (Region),14372,1,2,0
2021,1,Asia,Model 3,7808.0,8183.0,102109.35,60,359,420.46,Interpolated (Month),8256,0,1,1
2019,5,Middle East,Model 3,13977.0,14319.0,57301.92,75,417,874.26,Official (Quarter),13525,2,1,2
2016,9,Asia,Model S,13993.0,14982.0,118537.35,60,349,732.53,Interpolated (Month),4515,0,2,1
2020,1,Asia,Model Y,11592.0,12383.0,90750.14,100,567,985.9,Official (Quarter),4971,0,4,2
2025,9,North America,Model S,17854.0,18489.0,80631.84,60,355,950.73,Interpolated (Month),5009,3,2,1
2022,4,North America,Model S,10056.0,11163.0,78773.3,120,681,1027.22,Estimated (Region),7885,3,2,0
2025,3,Middle East,Cybertruck,5209.0,5621.0,65114.79,100,594,464.12,Estimated (Region),4024,2,0,0
2016,12,North America,Cybertruck,5224.0,5657.0,87919.34,100,588,460.76,Estimated (Region),13003,3,0,0
2022,5,Europe,Model 3,12541.0,13898.0,56168.86,120,710,1335.62,Official (Quarter),11787,1,1,2
2017,6,North America,Model X,6312.0,6933.0,117797.61,75,435,411.86,Interpolated (Month),3923,3,3,1
2023,11,North America,Model S,12717.0,12755.0,96953.2,60,344,656.2,Estimated (Region),7161,3,2,0
2016,10,Asia,Model S,16449.0,17908.0,99184.36,82,460,1134.98,Official (Quarter),9148,0,2,2
2024,1,Middle East,Model X,15387.0,16070.0,88150.59,100,561,1294.82,Official (Quarter),8327,2,3,2
2020,9,Middle East,Model S,9326.0,10117.0,100029.16,100,596,833.74,Official (Quarter),13947,2,2,2
2023,5,Middle East,Cybertruck,11531.0,12204.0,85790.7,60,357,617.49,Estimated (Region),13491,2,0,0
2024,1,North America,Model 3,3819.0,4249.0,91284.57,82,482,276.11,Official (Quarter),8146,3,1,2
