Model,Date,Forecast
SARIMA,2026-01-01,210743.0
SARIMA,2026-02-01,194643.0
SARIMA,2026-03-01,203056.0
SARIMA,2026-04-01,198260.0
SARIMA,2026-05-01,194837.0
SARIMA,2026-06-01,192191.0
SARIMA,2026-07-01,198159.0
SARIMA,2026-08-01,209946.0
SARIMA,2026-09-01,194857.0
SARIMA,2026-10-01,186807.0
SARIMA,2026-11-01,200179.0
SARIMA,2026-12-01,204385.0
Prophet,2026-01-01,196557.0
Prophet,2026-02-01,192631.0
Prophet,2026-03-01,194607.0
Prophet,2026-04-01,198665.0
Prophet,2026-05-01,195183.0
Prophet,2026-06-01,190843.0
Prophet,2026-07-01,198971.0
Prophet,2026-08-01,210603.0
Prophet,2026-09-01,192743.0
Prophet,2026-10-01,204585.0
Prophet,2026-11-01,198798.0
Prophet,2026-12-01,203603.0
LSTM,2026-01-01,197459.0
LSTM,2026-02-01,197691.0
LSTM,2026-03-01,197729.0
LSTM,2026-04-01,197485.0
LSTM,2026-05-01,197314.0
LSTM,2026-06-01,197777.0
LSTM,2026-07-01,197728.0
LSTM,2026-08-01,197659.0
LSTM,2026-09-01,197384.0
LSTM,2026-10-01,197486.0
LSTM,2026-11-01,197807.0
LSTM,2026-12-01,197789.0
Holt-Winters,2026-01-01,203468.0
Holt-Winters,2026-02-01,197389.0
Holt-Winters,2026-03-01,206192.0
Holt-Winters,2026-04-01,207494.0
Holt-Winters,2026-05-01,195621.0
Holt-Winters,2026-06-01,205488.0
Holt-Winters,2026-07-01,206656.0
Holt-Winters,2026-08-01,211105.0
Holt-Winters,2026-09-01,196993.0
Holt-Winters,2026-10-01,202227.0
Holt-Winters,2026-11-01,200135.0
Holt-Winters,2026-12-01,204324.0
